phrase,english,pinyin
得,"obtain, get, gain, acquire",dé
明白,,míng bái
白,"white; pure, unblemished; bright",bái
漂亮,,piào liàng
高,"high, tall; lofty, elevated",gāo
漂,"float, drift; tossed about",piào
亮,"bright, brilliant, radiant, light",liàng
朋友,,péng yǒu
男,"male, man; son; baron; surname",nán
矮,"short, dwarf; low",ǎi
朋,"friend, pal, acquaintance",péng
友,"friend, companion; fraternity",yǒu
女,"woman, girl; feminine; rad. 38",nǚ
上午,,shàng wǔ
分,divide; small unit of time etc.,fēn
下午,,xià wǔ
晚上,,wǎn shàng
午,noon; 7th terrestrial branch,wǔ
晚,"night, evening; late",wǎn
下,"under, underneath, below; down; inferior; bring down",xià
每,"every, each",měi
中午,,zhōng wǔ
周末,,zhōu mò
旁邊,,páng biān
左邊,,zuǒ biān
右邊,,yòu biān
旁,"side; by side, close by, near",páng
左,"left; east; unorthodox, improper",zuǒ
右,right; west; right-wing,yòu
邊,"edge, margin, side, border",biān
前麵,,qián miàn
後麵,,hòu miàn
學校,,xué xiào
喜歡,,xǐ huān
看,"look, see; examine, scrutinize",kàn
書,"book, letter, document; writings",shū
在,"be at, in, on; consist in, rest",zài
喜,"like, love, enjoy; joyful thing",xǐ
歡,"happy, pleased, glad; joy; enjoy",huān
玩,"play with, joke, enjoy",wán
電腦,,diàn nǎo
遊戲,,yóu xì
最,"most, extremely, exceedingly",zuì
起床,,qǐ chuáng
上學,,shàng xué
上班,,shàng bān
早飯,,zǎo fàn
做,"work, make; act",zuò
起,"rise, stand up; go up; begin",qǐ
床,"bed, couch; framework, chassis",chuáng
班,"class, group, grade; squad; job",bān
從,"from, by, since, whence, through",cóng
睡覺,,shuì jué
錢,"money, currency, coins",qián
塊,"piece, lump; dollar",kuài
隻,"only, just, simply",zhǐ
買,"buy, purchase; bribe, persuade",mǎi
一共,,yī gòng
毛,"hair, fur, feathers; coarse",máo
分,divide; small unit of time etc.,fēn
共,"together with, all, total; to share",gòng
信用卡,,xìn yòng kǎ
收,"gather together, collect; harvest",shōu
想,"think, speculate, plan, consider",xiǎng
乾,"oppose, offend; invade; dried",gàn
影,"shadow; image, reflection; photograph",yǐng
視,"look at, inspect, observe, see",shì
電視,,diàn shì
電影,,diàn yǐng
報紙,,bào zhǐ
上網,,shàng wǎng
報,"report, tell, announce",bào
紙,paper,zhǐ
桌,"table, desk, stand",zhuō
找,"search, seek, look for; find",zhǎo
桌子,,zhuō zi
上,"top; superior, highest; go up, send up",shàng
椅子,,yǐ zi
下,"under, underneath, below; down; inferior; bring down",xià
見,"see, observe, behold; perceive",jiàn
椅,"chair, seat",yǐ
房間,,fáng jiān
冰箱,,bīng xiāng
位,"throne; position, post; rank, status; seat",wèi
等,"rank, grade; wait; equal; 'etc.'",děng
一下,,yī xià
進,"advance, make progress, enter",jìn
坐,"sit; seat; ride, travel by",zuò
菜單,,cài dān
英文,,yīng wén
菜,"vegetables; dish, order; food",cài
單,"single, individual, only; lone",dān
英,"petal, flower, leaf; brave, a hero; England, English",yīng
些,"little, few; rather, somewhat",xiē
西,"west(ern); westward, occident",xī
東,"east, eastern, eastward",dōng
東西,,dōng xī
幫,"help, assist; defend; shoe upper",bāng
超市,,chāo shì
水果,,shuǐ guǒ
超,"jump over, leap over; surpass",chāo
市,"market, fair; city, town; trade",shì
果,fruit; result,guǒ
為,"do, handle, govern, act; be",wèi
文,"literature, culture, writing",wén
習,practice; flapping wings,xí
學習,,xué xí
中文,,zhōng wén
為什麼,,wèi shén me
去,"go away, leave, depart",qù
因為,,yīn wèi
所以,,suǒ yǐ
西班牙,,xī bān yá
海,"sea, ocean; maritime",hǎi
本,"root, origin, source; basis",běn
還,"still, yet, also, besides",hái
上海,,shàng hǎi
菜,"vegetables; dish, order; food",cài
還是,,hái shì
日本,,rì běn
肉,flesh; meat; KangXi radical 130,ròu
米飯,,mǐ fàn
麵條,,miàn tiáo
作,"make; work; compose, write; act, perform",zuò
得,"obtain, get, gain, acquire",dé
覺,to wake up from sleep; conscious,jué
工,"labor, work; worker, laborer",gōng
纍,"tired; implicate, involve; bother",lèi
工作,,gōng zuò
覺得,,jué dé
有點兒,,yǒu diǎn ér
胖,"fat, obese; fatty",pàng
健康,,jiàn kāng
鐵,"iron; strong, solid, firm",tiě
店,"shop, store; inn, hotel",diàn
地,"earth; soil, ground; region",de dì
酒,"wine, spirits, liquor, alcoholic beverage",jiǔ
酒店,,jiǔ diàn
地鐵,,de dì tiě
坐,"sit; seat; ride, travel by",zuò
不準,,bù zhǔn
準,"approve, allow, permit; in accord",zhǔn
出租車,,chū zū chē
件,numerary adjunct for article; matter,jiàn
衣,"clothes, clothing; cover, skin",yī
商,"commerce, business, trade",shāng
商店,,shāng diàn
衣服,,yī fú
開,"open; initiate, begin, start",kāi
關,frontier pass; close; relation,guān
門,"gate, door, entrance, opening",mén
歡迎,,huān yíng
迎,"receive, welcome, greet",yíng
字,"letter, character, simplified",zì
讀,"read, study; pronounce",dú
一點兒,,yī diǎn ér
意思,,yì sī
寫,"write; draw, sketch; compose",xiě
錯,"error, blunder, mistake; wrong",cuò
難,"difficult, arduous, hard; unable",nán
思,"think, consider, ponder; final particle",sī
秒,beard of grain or corn; a second,miǎo
刻,"carve, engrave; quarter hour",kè
差,"to differ; different, wrong; nearly, almost; an officer",chà chā
小時,,xiǎo shí
分鍾,,fēn zhōng
小,"small, tiny, insignificant",xiǎo
時,"time, season; era, age, period",shí
鍾,clock; bell,zhōng
整,"orderly, neat, tidy; whole",zhěng
早,early; soon; morning,zǎo
杯,"cup, glass",bēi
啤,beer,pí
德,"ethics, morality, virtue",dé
德國,,dé guó
啤酒,,pí jiǔ
果汁,,guǒ zhī
汁,"juice, liquor, fluid, sap, gravy, sauce",zhī
香蕉,,xiāng jiāo
蛋糕,,dàn gāo
塊,"piece, lump; dollar",kuài
室,"room, home, house, chamber",shì
辦,"manage, do, handle; deal with",bàn
輛,numerary adjunct for vehicles,liàng
辦公室,,bàn gōng shì
本,"root, origin, source; basis",běn
瓶子,,píng zi
張,"stretch, extend, expand; sheet",zhāng
照片,,zhào piàn
瓶,"jug, pitcher, vase, jar, bottle",píng
片,"slice, splinter, strip; rad. 91",piàn
步,"step, pace; walk, stroll",bù
跑,"run, flee, leave in hurry",pǎo
泳,dive; swim,yǒng
遊,"to swim; float, drift; wander, roam",yóu
遊泳,,yóu yǒng
跑步,,pǎo bù
踢,kick,tī
足球,,zú qiú
打,"strike, hit, beat; fight; attack",dǎ
籃球,,lán qiú
吧,emphatic final particle,ba
出去,,chū qù
時間,,shí jiān
時候,,shí hòu
空,"empty, hollow, bare, deserted",kōng
請,"ask, request; invite; please",qǐng
來,"come, coming; return, returning",lái
候,wait; expect; visit; greet,hòu
過,"pass, pass through, go across",guò
一起,,yī qǐ
該,"should, ought to, need to",gāi
病,"illness, sickness, disease",bìng
舒,"open up, unfold, stretch out; comfortable, easy",shū
應,"should, ought to, must",yīng
生病,,shēng bìng
應該,,yīng gāi
舒服,,shū fú
了,to finish; particle of completed action,le
疼,"aches, pains; be fond of; love",téng
頭,"head; top; chief, first; boss",tóu
派,"school of thought, sect, branch",pài
能,"to be able; can, permitted to; ability",néng
生日,,shēng rì
派對,,pài duì
打扮,,dǎ bàn
扮,dress up; dress up as,bàn
希望,,xī wàng
跟,"heel; to follow, accompany; with",gēn
希,"rare; hope, expect, strive for",xī
望,"to look at, look forward; to hope, expect",wàng
費,"expenses, expenditures, fee",fèi
完,"complete, finish, settle; whole",wán
經,classic works; pass through,jīng
已,already; finished; stop,yǐ
已經,,yǐ jīng
請,"ask, request; invite; please",qǐng
小費,,xiǎo fèi
飽,eat heartily; eat one's fill,bǎo
好吃,,hǎo chī
真,"real, actual, true, genuine",zhēn
試,"test, try, experiment",shì
藍,blue; indigo plant; surname,lán
條,"clause, condition; string, stripe",tiáo
裙,"skirt, apron, petticoat",qún
裙子,,qún zi
雙,"set of two, pair, couple; both",shuāng
還,"still, yet, also, besides",hái
鞋子,,xié zi
意大利,,yì dà lì
色,"color, tint, hue, shade; form, body; beauty, desire for beauty",sè
朵,cluster of flowers; earlobe,duǒ
睛,eyeball; pupil of eye,jīng
綠,green; chlorine,lǜ
耳,"ear; merely, only; handle",ěr
眼,"eye; eyelet, hole, opening",yǎn
耳朵,,ěr duǒ
眼睛,,yǎn jīng
頭發,,tóu fā
臉,face; cheek; reputation,liǎn
又,"and, also, again, in addition",yòu
遠,"distant, remote, far; profound",yuǎn
離,rare beast; strange; elegant,lí
路,"road, path, street; journey",lù
走路,,zǒu lù
近,"near, close; approach; intimate",jìn
開車,,kāi chē
飛機,,fēi jī
機場,,jī chǎng
飛,fly; go quickly; dart; high,fēi
場,"open space, field, market",chǎng
冷,"cold, cool; lonely",lěng
晴,"clear weather, fine weather",qíng
天氣,,tiān qì
雨,rain; rainy; KangXi radical 173,yǔ
雪,"snow; wipe away shame, avenge",xuě
陰,'female' principle; dark; secret,yīn
下,"under, underneath, below; down; inferior; bring down",xià
著,"make move, take action",zhe
傘,"umbrella, parasol, parachute",sǎn
帶,"belt, girdle, band, strap, zone",dài
然,"yes, certainly; pledge, promise",rán
但,"only; but, however, yet, still",dàn
雖,"although, even if",suī
短,"short; brief; deficient, lacking",duǎn
長,long; length; excel in; leader,zhǎng
雖然,,suī rán
但是,,dàn shì
紅,"red, vermillion; blush, flush",hóng
顔色,,yán sè
穿,"penetrate, pierce, drill; wear",chuān
紹,"continue, carry on; join",shào
介,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",jiè
介紹,,jiè shào
帥,"commander, commander-in-chief",shuài
笑,"smile, laugh, giggle; snicker",xiào
說話,,shuō huà
話,"speech, talk, language; dialect",huà
聰明,,cōng míng
彆人,,bié rén
不但,,bù dàn
春,spring; wanton,chūn
樂,"happy, glad; enjoyable; music",lè
快樂,,kuài lè
節日,,jié rì
春節,,chūn jié
禮物,,lǐ wù
送,"see off, send off; dispatch, give",sòng
新年,,xīn nián
瓶,"jug, pitcher, vase, jar, bottle",píng
白酒,,bái jiǔ
賽,"compete, contend; contest, race",sài
練,"to practice, drill, exercise, train",liàn
練習,,liàn xí
比賽,,bǐ sài
好在,,hǎo zài
乒乓球,,pīng pāng qiú
乒,used with pong for ping pong,pīng
乓,used with ping for ping pong,pāng
參加,,cān jiā
第,"sequence, number; grade, degree",dì
同,"same, similar; together with",tóng
課,"lesson, class; subject, course",kè
室,"room, home, house, chamber",shì
教,"teach, class",jiào
教室,,jiào shì
同學,,tóng xué
地理,,de dì lǐ
理,"reason, logic; manage",lǐ
懂,"understand, comprehend",dǒng
問題,,wèn tí
爺爺,,yé yé
奶奶,,nǎi nǎi
阿姨,,ā yí
爺,"father, grandfather",yé
阿,prefix for people's names; used in transliteration,ā
姨,mother/wife's sister; concubine,yí
兄弟姐妹,,xiōng dì jiě mèi
關係,,guān xì
叔叔,,shū shū
父母,,fù mǔ
拉麵,,lā miàn
點心,,diǎn xīn
小籠包,,xiǎo lóng bāo
拉,"pull, drag; seize, hold; lengthen",lā
籠,cage; cage-like basket,lóng
粥,"rice gruel, congee",zhōu
油條,,yóu tiáo
豆漿,,dòu jiāng
油,"oil, fat, grease, lard; paints",yóu
豆,"beans, peas; bean-shaped",dòu
夏,"summer; great, grand, big",xià
鼕,"winter, 11th lunar month",dōng
鞦,"autumn, fall; year",qiū
春,spring; wanton,chūn
後,"queen, empress, sovereign; (simp. for 後) behind, rear, after",hòu
前,"in front, forward; preceding",qián
季,quarter of year; season; surname,jì
澳,"inlet, bay; dock, bank",ào
亞,Asia; second,yà
季節,,jì jié
城,"castle; city, town; municipality",chéng
市,"market, fair; city, town; trade",shì
附,"adhere to, append; rely on near to",fù
園,"garden; park, orchard",yuán
城市,,chéng shì
附近,,fù jìn
公園,,gōng yuán
圖,"diagram; chart, map, picture",tú
館,public building,guǎn
方,"a square, rectangle; a region; local",fāng
摺,"break off, snap; bend",zhé
角,"horn; angle, corner; point",jiǎo
花,flower; blossoms,huā
打摺,,dǎ zhé
舊,"old, ancient; former, past",jiù
皮,"skin, hide, fur, feather; outer",pí
換,change,huàn
經,classic works; pass through,jīng
皮鞋,,pí xié
經過,,jīng guò
慣,"habit, custom; habitually, usual",guàn
刷,"brush; clean with brush, scrub",shuā
牙,"tooth, molars, teeth; serrated",yá
習慣,,xí guàn
刷牙,,shuā yá
馬上,,mǎ shàng
以後,,yǐ hòu
澡,"wash, bathe",zǎo
總,"collect; overall, altogether",zǒng
洗澡,,xǐ zǎo
除,"eliminate, remove, except",chú
其,"his, her, its, their; that",qí
餃,stuffed dumplings,jiǎo
北方,,běi fāng
除了,,chú le
其他,,qí tā
餃子,,jiǎo zi
辣,"peppery, pungent, hot; cruel",là
極,"extreme, utmost, furthest, final",jí
苦,"bitter; hardship, suffering",kǔ
長,long; length; excel in; leader,zhǎng
級,"level, rank, class; grade",jí
個子,,gè zi
年級,,nián jí
小學,,xiǎo xué
初中,,chū zhōng
初,"beginning, initial, primary",chū
輕,"light; easy, simple; gentle",qīng
較,"compare; comparatively, more",jiào
年輕,,nián qīng
先,"first, former, previous",xiān
然後,,rán hòu
西邊,,xī biān
東邊,,dōng biān
前,"in front, forward; preceding",qián
左,"left; east; unorthodox, improper",zuǒ
北邊,,běi biān
一直,,yī zhí
最後,,zuì hòu
南邊,,nán biān
般,"sort, manner, kind, category",bān
聊,"somewhat, slightly, at least",liáo
聊天,,liáo tiān
一般,,yī bān
見麵,,jiàn miàn
自己,,zì jǐ
一個人,,yī gè rén
自,"self, private, personal; from",zì
己,"self, oneself; personal, private; 6th heavenly stem",jǐ
證,"prove, confirm, verify; proof",zhèng
簽,"sign, endorse; slip of paper",qiān
照,"shine, illumine, reflect",zhào
護,"protect, guard, defend, shelter",hù
護照,,hù zhào
簽證,,qiān zhèng
發現,,fā xiàn
起飛,,qǐ fēi
離開,,lí kāi
發,"issue, dispatch, send out; hair",fā
言,"simplifieds, speech; speak, say",yán
易,change; easy,yì
容,"looks, appearance; figure, form",róng
種,"seed; race, breed; to plant",zhǒng
容易,,róng yì
久,"long time (ago); time passage, grow late",jiǔ
語言,,yǔ yán
學,"learning, knowledge; school",xué
更,"more, still further, much more",gèng
努力,,nǔ lì
看起來,,kàn qǐ lái
奇怪,,qí guài
生氣,,shēng qì
緊張,,jǐn zhāng
奇,"strange, unusual, uncanny, occult",qí
怪,"strange, unusual, peculiar",guài
緊,"tense, tight, taut; firm, secure",jǐn
難過,,nán guò
地,"earth; soil, ground; region",de dì
想,"think, speculate, plan, consider",xiǎng
求,"seek; demand, request; beseech",qiú
教,"teach, class",jiào
班,"class, group, grade; squad; job",bān
校長,,xiào zhǎng
要求,,yào qiú
食堂,,shí táng
食,eat; meal; food; KangXi radical number 184,shí
堂,hall; government office,táng
必須,,bì xū
完成,,wán chéng
化,"change, convert, reform; -ize",huà
算,"count, calculate, figure; plan",suàn
搬,"transfer, move, remove, shift",bān
變,"change, transform, alter; rebel",biàn
打算,,dǎ suàn
變化,,biàn huà
機會,,jī huì
留學,,liú xué
國傢,,guó jiā
選擇,,xuǎn zé
境,"boundary, frontier; area, region",jìng
環,jade ring or bracelet; ring,huán
層,"storey, layer, floor, stratum",céng
方便,,fāng biàn
環境,,huán jìng
花,flower; blossoms,huā
草,"grass, straw, thatch, herbs",cǎo
太陽,,tài yáng
星星,,xīng xīng
陽,'male' principle; light; sun,yáng
先生,,xiān shēng
小姐,,xiǎo jiě
經理,,jīng lǐ
同事,,tóng shì
突然,,tū rán
重要,,zhòng yào
會議,,huì yì
突,"suddenly, abruptly, unexpectedly",tū
重,"heavy, weighty; double",zhòng
議,"consult, talk over, discuss",yì
界,"boundary, limit; domain; society; the world",jiè
河,river; stream; yellow river,hé
世,generation; world; era,shì
黃河,,huáng hé
動物,,dòng wù
有名,,yǒu míng
世界,,shì jiè
長江,,zhǎng jiāng
江,large river; yangzi; surname,jiāng
多麼,,duō me
山,"mountain, hill, peak",shān
者,that which; he who; those who,zhě
爬,"crawl, creep; climb; scramble",pá
或,"or, either, else; perhaps, maybe",huò
自行車,,zì xíng chē
或者,,huò zhě
爬山,,pá shān
功夫,,gōng fū
功,"achievement, merit, good result",gōng
對,"correct, right; facing, opposed",duì
顧,look back; look at; look after,gù
死,die; dead; death,sǐ
悶,"gloomy, depressed, melancholy",mèn
腿,"legs, thighs",tuǐ
照,"shine, illumine, reflect",zhào
照顧,,zhào gù
公斤,,gōng jīn
著急,,zhe jí
瘦,"thin, emaciated, lean; meager",shòu
斤,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",jīn
際,"border, boundary, juncture",jì
櫃,"cabinet, cupboard; shop counter",guì
轉,"shift, move, turn",zhuǎn
轉機,,zhuǎn jī
櫃颱,,guì tái
國際,,guó jì
換錢,,huàn qián
銀行,,yín xíng
充電,,chōng diàn
國內,,guó nèi
答,"answer, reply; return; assent to",dá
句,sentence,jù
單,"single, individual, only; lone",dān
簡,"simple, terse, succinct, a letter",jiǎn
簡單,,jiǎn dān
句子,,jù zi
迴答,,huí dá
詞典,,cí diǎn
應用,,yīng yòng
語法,,yǔ fǎ
把,"hold, take; guard; regard as",bǎ
燈,"lantern, lamp",dēng
空調,,kōng diào
空,"empty, hollow, bare, deserted",kōng
放,"put, release, free, liberate",fàng
畫,"a painting, picture, drawing; to draw",huà
廚房,,chú fáng
客廳,,kè tīng
廚,kitchen; closet; cupboard,chú
廳,"hall, central room",tīng
寒,"cold, wintry, chilly",hán
暑,hot,shǔ
復,return; repeat; repeatedly,fù
記得,,jì dé
復習,,fù xí
數學,,shù xué
放假,,fàng jiǎ
暑假,,shǔ jiǎ
寒假,,hán jiǎ
終於,,zhōng yú
景,"scenery, view; conditions",jǐng
街,"street, road, thoroughfare",jiē
地圖,,de dì tú
拿,"take, hold, grasp; bring; with",ná
出,"go out, send out; stand; produce",chū
街道,,jiē dào
紅綠燈,,hóng lǜ dēng
風景,,fēng jǐng
司機,,sī jī
接,receive; continue; catch; connect,jiē
郵,"postal, mail; post office",yóu
剛纔,,gāng cái
電子郵件,,diàn zi yóu jiàn
迴,"return, turn around; a time",huí
發,"issue, dispatch, send out; hair",fā
主要,,zhǔ yào
短信,,duǎn xìn
關於,,guān yú
主,"master, chief owner; host; lord",zhǔ
登錄,,dēng lù
同意,,tóng yì
決定,,jué dìng
根據,,gēn jù
升職,,shēng zhí
定,"decide, settle, fix",dìng
根,"root, base(d on); foundation",gēn
據,"to occupy, take possession of; a base, position",jù
升,"arise, go up; hoist; advance",shēng
職,"duty, profession; office, post",zhí
滿意,,mǎn yì
餅,"rice-cakes, biscuits",bǐng
園,"garden; park, orchard",yuán
月亮,,yuè liàng
月餅,,yuè bǐng
中鞦節,,zhōng qiū jié
圓,"circle; round, circular; complete",yuán
恭喜,,gōng xǐ
紅包,,hóng bāo
湯圓,,tāng yuán
聚會,,jù huì
珠,"precious stone, gem, jewel, pearl",zhū
湯,"hot water; soup, gravy, broth",tāng
酸,"tart, sour; acid; stiff; spoiled",suān
珍,"precious, valuable, rare",zhēn
珍珠奶茶,,zhēn zhū nǎi chá
酸辣湯,,suān là tāng
北京烤鴨,,běi jīng kǎo yā
春捲,,chūn juǎn
豆花,,dòu huā
烤,"bake, roast, toast, cook",kǎo
豪,"brave, heroic, chivalrous",háo
宅,"residence, dwelling, home; grave",zhái
土,"soil, earth; items made of earth",tǔ
土豪,,tǔ háo
吃貨,,chī huò
宅男,,zhái nán
菜鳥,,cài niǎo
美圖,,měi tú
萌,"bud, sprout",méng
自拍,,zì pāi
銷,"melt, fuse; market, sell",xiāo
據,"to occupy, take possession of; a base, position",jù
收據,,shōu jù
報銷,,bào xiāo
費用,,fèi yòng
盡快,,jǐn kuài
迴復,,huí fù
報告,,bào gào
協議,,xié yì
盡,"exhaust, use up; deplete",jǐn
險,"narrow pass, strategic point",xiǎn
投,"throw, cast, fling, pitch; jump",tóu
保險,,bǎo xiǎn
風險,,fēng xiǎn
投資,,tóu zī
律師,,lǜ shī
版權,,bǎn quán
谘詢,,zī xún
律,"statute, principle, regulation",lǜ
版,printing blocks; edition,bǎn
傷,"wound, injury; fall ill from",shāng
受,"receive, accept, get; bear, stand",shòu
護,"protect, guard, defend, shelter",hù
救,"save, rescue, relieve; help, aid",jiù
警,"guard, watch; alert, alarm",jǐng
報警,,bào jǐng
救護車,,jiù hù chē
受傷,,shòu shāng
救命,,jiù mìng
發生,,fā shēng
奬,"prize, reward; give award to",jiǎng
工資,,gōng zī
加班,,jiā bān
奬金,,jiǎng jīn
生意,,shēng yì
壓力,,yā lì
責任,,zé rèn
商量,,shāng liàng
意見,,yì jiàn
壓,press; oppress; crush; pressure,yā
乾燥,,gàn zào
暖和,,nuǎn hé
涼快,,liáng kuài
燥,"dry, parched, arid; quick-tempered",zào
暖,"warm, genial",nuǎn
和,"harmony, peace; peaceful, calm",hé
涼,"cool, cold; disheartened",liáng
溫度,,wēn dù
度,"degree, system; manner; to consider",dù
大約,,dà yuē
鷹,falcon; Accipiter species (various),yīng
毛,"hair, fur, feathers; coarse",máo
羽,"feather, plume; wings; rad. 124",yǔ
橙,orange,chéng
貓頭鷹,,māo tóu yīng
羽毛,,yǔ máo
多兒,,duō ér
鼓勵,,gǔ lì
提醒,,tí xǐng
懶,"lazy, languid, listless",lǎn
