phrase,english,pinyin
分配,assign,fēn pèi
分發,distribute,fēn fā
收集,collect,shōu jí
整理,organize,zhěng lǐ
儲存,store,chǔ cún
運輸,transport,yùn shū
郵寄,mail,yóu jì
接收,receive,jiē shōu
邀請,invite,yāo qǐng
感謝,thank,gǎn xiè
道歉,apologize,dào qiàn
原諒,forgive,yuán liàng
責備,blame,zé bèi
批評,criticize,pī píng
贊美,praise,zàn měi
鼓勵,encourage,gǔ lì
支持,support,zhī chí
反對,oppose,fǎn dùi
建議,suggest,jiàn yì
推薦,recommend,tūi jiàn
要求,request,yào qíu
命令,order,mìng lìng
允許,allow,yǔn xǔ
禁止,forbid,jìn zhǐ
遵守,obey,zūn shǒu
違反,violate,wéi fǎn
遵循,follow,zūn xún
引導,guide,yǐn dǎo
處理,handle,chù lǐ
解決,solve,jiě jué
應對,cope,yīng dùi
麵對,face,miàn dùi
避免,avoid,bì miǎn
逃跑,escape,táo pǎo
追,follow,zhūi
趕,chase,gǎn
抓住,catch,zhuā zhù
釋放,release,shì fàng
捆綁,tie,kǔn bǎng
解開,untie,jiě kāi
鎖,lock,suǒ
解鎖,unlock,jiě suǒ
蓋,cover,gài
揭開,uncover,jiē kāi
包裹,wrap,bāo guǒ
裝,pack,zhuāng
拆,unpack,chāi
裝飾,decorate,zhuāng shì
清理,clean up,qīng lǐ
打掃,sweep,dǎ sǎo
拖,drag,tuō
搬運,carry,bān yùn
舉,hold up,jǔ
握,hold,wò
捏,pinch,niē
擰,twist,níng
拍,pat,pāi
敲,knock,qiāo
按,press,àn
點,click,diǎn
滑動,swipe,huá dòng
滾動,scroll,gǔn dòng
搖,shake,yáo
晃,rock,huǎng
轉動,rotate,zhuǎn dòng
翻轉,flip,fān zhuǎn
摺,fold,zhé
展開,unfold,zhǎn kāi
撕,tear,sī
縫,sew,féng
織,knit,zhī
粘,glue,nián
貼,stick,tiē
雕刻,carve,diāo kè
塑造,shape,sù zào
製作,make,zhì zuò
創造,create,chuàng zào
設計,design,shè jì
發明,invent,fā míng
開發,develop,kāi fā
研究,research,yán jīu
探索,explore,tàn suǒ
發現,discover,fā xiàn
調查,investigate,diào chá
分析,analyze,fēn xī
計算,calculate,jì suàn
測量,measure,cè liàng
估計,estimate,gū jì
預測,predict,yù cè
安排,arrange,ān pái
準備,prepare,zhǔn bèi
完成,complete,wán chéng
實現,achieve,shí xiàn
失去,lose,shī qù
贏,win,yíng
輸,lose,shū
比賽,compete,bǐ sài
挑戰,challenge,tiāo zhàn
冒險,adventure,mào xiǎn
失敗,fail,shī bài
成功,succeed,chéng gōng
訓練,train,xùn liàn
練習,practice,liàn xí
復習,review,fù xí
考試,test,kǎo shì
考察,examine,kǎo chá
總結,summarize,zǒng jié
歸納,conclude,gūi nà
推斷,infer,tūi duàn
證明,prove,zhèng míng
陳述,state,chén shù
製,"make, manufacture; produce",zhì
可以,can,kě yǐ
沒有,not have,méi yǒu
不是,is not,bù shì
會,will,hùi
是,is,shì
有,have,yǒu
去,go,qù
來,come,lái
