phrase,english,pinyin,comment
你,"you, second person pronoun",nǐ
朋友,friend,péng yǒu
男,"male, man; son; baron; surname",nán
矮,"short, dwarf; low",ǎi
朋,"friend, pal, acquaintance",péng
友,"friend, companion; fraternity",yǒu
上午,morning,shàng wǔ
分,divide; small unit of time etc.,fēn
下午,afternoon,xià wǔ
晚上,night,wǎn shàng
午,noon; 7th terrestrial branch,wǔ
晚,"night, evening; late",wǎn
下,"under, underneath, below; down; inferior; bring down",xià
每,"every, each",měi
中午,noon,zhōng wǔ
周末,weekend,zhōu mò
旁邊,beside,páng biān
左邊,left,zuǒ biān
右邊,right,yòu biān
旁,"side; by side, close by, near",páng
左,"left; east; unorthodox, improper",zuǒ
右,right; west; right-wing,yòu
邊,"edge, margin, side, border",biān
前麵,Front,qián miàn
後麵,later,hòu miàn
學校,School,xué xiào
喜歡,like,xǐ huān
看,"look, see; examine, scrutinize",kàn
書,"book, letter, document; writings",shū
喜,"like, love, enjoy; joyful thing",xǐ
歡,"happy, pleased, glad; joy; enjoy",huān
玩,"play with, joke, enjoy",wán
電腦,computer,diàn nǎo
遊戲,game,yóu xì
起床,get up,qǐ chuáng
上學,go to school,shàng xué
上班,work,shàng bān
早飯,breakfast,zǎo fàn
做,"work, make; act",zuò
床,"bed, couch; framework, chassis",chuáng
班,"class, group, grade; squad; job",bān
從,"from, by, since, whence, through",cóng
睡覺,sleep,shùi jué
錢,"money, currency, coins",qián
塊,"piece, lump; dollar",kuài
隻,"only, just, simply",zhī
買,"buy, purchase; bribe, persuade",mǎi
一共,Total,yī gòng
毛,"hair, fur, feathers; coarse",máo
共,"together with, all, total; to share",gòng
信用卡,credit card,xìn yòng qiǎ
收,"gather together, collect; harvest",shōu
想,"think, speculate, plan, consider",xiǎng
乾,"oppose, offend; invade; dried",gān
影,"shadow; image, reflection; photograph",yǐng
視,"look at, inspect, observe, see",shì
電視,television,diàn shì
電影,Movie,diàn yǐng
報紙,newspaper,bào zhǐ
上網,Internet access,shàng wǎng
報,"report, tell, announce",bào
紙,paper,zhǐ
桌,"table, desk, stand",zhuō
找,"search, seek, look for; find",zhǎo
桌子,table,zhuō zǐ
椅子,Chair,yǐ zǐ
椅,"chair, seat",yǐ
房間,Room,fáng jiān
冰箱,refrigerator,bīng xiāng
位,"throne; position, post; rank, status; seat",wèi
等,"rank, grade; wait; equal; 'etc.'",děng
一下,one time,yī xià
進,"advance, make progress, enter",jìn
坐,"sit; seat; ride, travel by",zuò
菜單,menu,cài dān
英文,English,yīng wén
菜,"vegetables; dish, order; food",cài
單,"single, individual, only; lone",dān
些,"little, few; rather, somewhat",xiē
西,"west(ern); westward, occident",xī
東,"east, eastern, eastward",dōng
東西,thing,dōng xī
幫,"help, assist; defend; shoe upper",bāng
超市,supermarket,chāo shì
水果,fruit,shǔi guǒ
超,"jump over, leap over; surpass",chāo
市,"market, fair; city, town; trade",shì
果,fruit; result,guǒ
為,"do, handle, govern, act; be",wèi
文,"literature, culture, writing",wén
習,practice; flapping wings,xí
學習,study,xué xí
中文,Chinese,zhōng wén
為什麼,Why,wèi shí me
去,"go away, leave, depart",qù
因為,because,yīn wèi
所以,so,suǒ yǐ
西班牙,Spain,xī bān yá
海,"sea, ocean; maritime",hǎi
本,"root, origin, source; basis",běn
還,"still, yet, also, besides",huán
上海,Shanghai,shàng hǎi
還是,still,huán shì
日本,Japan,rì běn
肉,flesh; meat; KangXi radical 130,ròu
米飯,rice,mǐ fàn
麵條,Noodle,miàn tiáo
作,"make; work; compose, write; act, perform",zuò
覺,to wake up from sleep; conscious,jué
工,"labor, work; worker, laborer",gōng
纍,"tired; implicate, involve; bother",léi
工作,Work,gōng zuò
覺得,feel,jué dé
有點兒,kind of,yǒu diǎn ér
胖,"fat, obese; fatty",pàng
健康,healthy,jiàn kāng
鐵,"iron; strong, solid, firm",tiě
店,"shop, store; inn, hotel",diàn
地,"earth; soil, ground; region",dì
酒,"wine, spirits, liquor, alcoholic beverage",jǐu
酒店,hotel,jǐu diàn
地鐵,subway,dì tiě
不準,Not allowed,bù zhǔn
準,"approve, allow, permit; in accord",zhǔn
出租車,taxi,chū zū chē
件,numerary adjunct for article; matter,jiàn
衣,"clothes, clothing; cover, skin",yī
商,"commerce, business, trade",shāng
商店,shop,shāng diàn
衣服,clothing,yī fú
開,"open; initiate, begin, start",kāi
門,"gate, door, entrance, opening",mén
歡迎,welcome,huān yíng
迎,"receive, welcome, greet",yíng
讀,"read, study; pronounce",dú
意思,mean,yì sī
寫,"write; draw, sketch; compose",xiě
錯,"error, blunder, mistake; wrong",cuò
難,"difficult, arduous, hard; unable",nán
思,"think, consider, ponder; final particle",sī
秒,beard of grain or corn; a second,miǎo
刻,"carve, engrave; quarter hour",kè
差,"to differ; different, wrong; nearly, almost; an officer",chà
小時,Hour,xiǎo shí
分鍾,minute,fēn zhōng
小,"small, tiny, insignificant",xiǎo
時,"time, season; era, age, period",shí
鍾,clock; bell,zhōng
整,"orderly, neat, tidy; whole",zhěng
杯,"cup, glass",bēi
啤,beer,pí
德,"ethics, morality, virtue",dé
德國,Germany,dé guó
啤酒,beer,pí jǐu
果汁,juice,guǒ zhī
汁,"juice, liquor, fluid, sap, gravy, sauce",zhī
香蕉,banana,xiāng jiāo
蛋糕,cake,dàn gāo
室,"room, home, house, chamber",shì
辦,"manage, do, handle; deal with",bàn
輛,numerary adjunct for vehicles,liàng
辦公室,office,bàn gōng shì
瓶子,bottle,píng zǐ
照片,photo,zhào piàn
瓶,"jug, pitcher, vase, jar, bottle",píng
片,"slice, splinter, strip; rad. 91",piàn
步,"step, pace; walk, stroll",bù
跑,"run, flee, leave in hurry",pǎo
泳,dive; swim,yǒng
遊,"to swim; float, drift; wander, roam",yóu
遊泳,swim,yóu yǒng
跑步,running,pǎo bù
踢,kick,tī
足球,football,zú qíu
打,"strike, hit, beat; fight; attack",dǎ
籃球,basketball,lán qíu
吧,emphatic final particle,ba
出去,go out,chū qù
時間,time,shí jiān
時候,when,shí hòu
空,"empty, hollow, bare, deserted",kōng
來,"come, coming; return, returning",lái
候,wait; expect; visit; greet,hòu
過,"pass, pass through, go across",guò
一起,Together,yī qǐ
該,"should, ought to, need to",gāi
病,"illness, sickness, disease",bìng
舒,"open up, unfold, stretch out; comfortable, easy",shū
應,"should, ought to, must",yīng
生病,Get ill,shēng bìng
應該,should,yīng gāi
舒服,Comfortable,shū fú
了,to finish; particle of completed action,le
疼,"aches, pains; be fond of; love",téng
頭,"head; top; chief, first; boss",tóu
派,"school of thought, sect, branch",pài
能,"to be able; can, permitted to; ability",néng
生日,Birthday,shēng rì
派對,Party,pài dùi
打扮,dress up,dǎ bàn
扮,dress up; dress up as,bàn
希望,hope,xī wàng
跟,"heel; to follow, accompany; with",gēn
希,"rare; hope, expect, strive for",xī
望,"to look at, look forward; to hope, expect",wàng
費,"expenses, expenditures, fee",fèi
完,"complete, finish, settle; whole",wán
經,classic works; pass through,jīng
已,already; finished; stop,yǐ
已經,already,yǐ jīng
小費,tip,xiǎo fèi
飽,eat heartily; eat one's fill,bǎo
好吃,tasty,hǎo chī
真,"real, actual, true, genuine",zhēn
試,"test, try, experiment",shì
藍,blue; indigo plant; surname,lán
條,"clause, condition; string, stripe",tiáo
裙,"skirt, apron, petticoat",qún
裙子,skirt,qún zǐ
雙,"set of two, pair, couple; both",shuāng
鞋子,shoe,xié zǐ
意大利,Italy,yì dà lì
色,"color, tint, hue, shade; form, body; beauty, desire for beauty",sè
朵,cluster of flowers; earlobe,duǒ
睛,eyeball; pupil of eye,jīng
綠,green; chlorine,lv̀
耳,"ear; merely, only; handle",ěr
眼,"eye; eyelet, hole, opening",yǎn
耳朵,ear,ěr duǒ
眼睛,Eye,yǎn jīng
頭發,hair,tóu fā
臉,face; cheek; reputation,liǎn
又,"and, also, again, in addition",yòu
遠,"distant, remote, far; profound",yuǎn
離,rare beast; strange; elegant,lí
路,"road, path, street; journey",lù
走路,walk,zǒu lù
近,"near, close; approach; intimate",jìn
開車,drive,kāi chē
飛機,airplane,fēi jī
機場,Airport,jī cháng
飛,fly; go quickly; dart; high,fēi
場,"open space, field, market",cháng
冷,"cold, cool; lonely",lěng
晴,"clear weather, fine weather",qíng
天氣,weather,tiān qì
雨,rain; rainy; KangXi radical 173,yǔ
雪,"snow; wipe away shame, avenge",xuě
陰,'female' principle; dark; secret,yīn
著,"make move, take action",zhù
傘,"umbrella, parasol, parachute",sǎn
帶,to bring,dài
然,"yes, certainly; pledge, promise",rán
但,"only; but, however, yet, still",dàn
雖,"although, even if",sūi
短,"short; brief; deficient, lacking",duǎn
長,long; length; excel in; leader,cháng
雖然,Although,sūi rán
但是,but,dàn shì
紅,"red, vermillion; blush, flush",hóng
顔色,color,yán sè
穿,"penetrate, pierce, drill; wear",chuān
紹,"continue, carry on; join",shào
介,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",jiè
介紹,introduce,jiè shào
帥,"commander, commander-in-chief",shuài
笑,"smile, laugh, giggle; snicker",xiào
說話,say,shuō huà
聰明,clever,cōng míng
彆人,other people,biè rén
不但,Not only,bù dàn
春,spring; wanton,chūn
樂,"happy, glad; enjoyable; music",lè
快樂,hapiness,kuài lè
節日,festival,jié rì
春節,Spring Festival,chūn jié
禮物,Gift,lǐ wù
送,"see off, send off; dispatch, give",sòng
新年,new year,xīn nián
白酒,Liquor,bái jǐu
賽,"compete, contend; contest, race",sài
練,"to practice, drill, exercise, train",liàn
練習,practise,liàn xí
比賽,Contest,bǐ sài
好在,Fortunately,hǎo zài
乒乓球,table tennis,pīng pāng qíu
乒,used with pong for ping pong,pīng
乓,used with ping for ping pong,pāng
參加,join,cān jiā
第,"sequence, number; grade, degree",dì
同,"same, similar; together with",tóng
課,"lesson, class; subject, course",kè
教,"teach, class",jiào
教室,classroom,jiào shì
同學,classmate,tóng xué
地理,geography,dì lǐ
理,"reason, logic; manage",lǐ
懂,"understand, comprehend",dǒng
問題,question,wèn tí
爺爺,grandfather,yé yé
奶奶,grandmother,nǎi nǎi
阿姨,Aunt,ā yí
爺,"father, grandfather",yé
阿,prefix for people's names; used in transliteration,ā
姨,mother/wife's sister; concubine,yí
兄弟姐妹,brothers and sisters,xiōng dì jiě mèi
關係,relation,guān xì
叔叔,uncle,shū shū
父母,parents,fù mǔ
拉麵,Hand-Pulled Noodle,lā miàn
點心,dessert,diǎn xīn
小籠包,Xiao Long Bao,xiǎo lóng bāo
拉,"pull, drag; seize, hold; lengthen",lā
籠,cage; cage-like basket,lóng
粥,"rice gruel, congee",zhōu
油條,fried dough sticks,yóu tiáo
豆漿,soy milk,dòu jiāng
油,"oil, fat, grease, lard; paints",yóu
豆,"beans, peas; bean-shaped",dòu
夏,"summer; great, grand, big",xià
鼕,"winter, 11th lunar month",dōng
鞦,"autumn, fall; year",qīu
後,"queen, empress, sovereign; (simp. for 後) behind, rear, after",hòu
前,"in front, forward; preceding",qián
季,quarter of year; season; surname,jì
澳,"inlet, bay; dock, bank",ào
亞,Asia; second,yà
季節,season,jì jié
城,"castle; city, town; municipality",chéng
附,"adhere to, append; rely on near to",fù
園,"garden; park, orchard",yuán
城市,City,chéng shì
附近,nearby,fù jìn
公園,garden,gōng yuán
圖,"diagram; chart, map, picture",tú
方,"a square, rectangle; a region; local",fāng
摺,"break off, snap; bend",zhé
角,"horn; angle, corner; point",jiǎo
花,flower; blossoms,huā
打摺,Discount,dǎ zhé
舊,"old, ancient; former, past",jìu
皮,"skin, hide, fur, feather; outer",pí
換,change,huàn
皮鞋,leather shoes,pí xié
經過,go through,jīng guò
慣,"habit, custom; habitually, usual",guàn
刷,"brush; clean with brush, scrub",shuā
牙,"tooth, molars, teeth; serrated",yá
習慣,Habit,xí guàn
刷牙,brush teeth,shuā yá
馬上,immediately,mǎ shàng
以後,after,yǐ hòu
澡,"wash, bathe",zǎo
總,"collect; overall, altogether",zǒng
洗澡,bath,xǐ zǎo
除,"eliminate, remove, except",chú
其,"his, her, its, their; that",qí
餃,stuffed dumplings,jiǎo
北方,north,běi fāng
除了,Apart from,chú le
其他,other,qí tā
餃子,dumpling,jiǎo zǐ
辣,"peppery, pungent, hot; cruel",là
極,"extreme, utmost, furthest, final",jí
苦,"bitter; hardship, suffering",kǔ
級,"level, rank, class; grade",jí
個子,height,gè zǐ
年級,grade,nián jí
小學,primary school,xiǎo xué
初中,junior high school,chū zhōng
初,"beginning, initial, primary",chū
輕,"light; easy, simple; gentle",qīng
較,"compare; comparatively, more",jiào
年輕,young,nián qīng
先,"first, former, previous",xiān
然後,Then,rán hòu
西邊,West,xī biān
東邊,East,dōng biān
北邊,North,běi biān
一直,Always,yī zhí
最後,at last,zùi hòu
南邊,South,nán biān
般,"sort, manner, kind, category",bān
聊,"somewhat, slightly, at least",liáo
聊天,chat,liáo tiān
一般,generally,yī bān
見麵,Meet,jiàn miàn
自己,Own,zì jǐ
一個人,one person,yī gè rén
自,"self, private, personal; from",zì
己,"self, oneself; personal, private; 6th heavenly stem",jǐ
證,"prove, confirm, verify; proof",zhèng
簽,"sign, endorse; slip of paper",qiān
照,"shine, illumine, reflect",zhào
護,"protect, guard, defend, shelter",hù
護照,passport,hù zhào
簽證,visa,qiān zhèng
發現,Discover,fā xiàn
起飛,take off,qǐ fēi
離開,leave,lí kāi
發,"issue, dispatch, send out; hair",fā
言,"simplifieds, speech; speak, say",yán
易,change; easy,yì
容,"looks, appearance; figure, form",róng
種,"seed; race, breed; to plant",zhǒng
容易,easy,róng yì
久,"long time (ago); time passage, grow late",jǐu
語言,language,yǔ yán
更,"more, still further, much more",gèng
努力,effort,nǔ lì
看起來,Looks,kàn qǐ lái
奇怪,strangeness,qí guài
生氣,angry,shēng qì
緊張,nervous,jǐn zhāng
奇,"strange, unusual, uncanny, occult",qí
怪,"strange, unusual, peculiar",guài
緊,"tense, tight, taut; firm, secure",jǐn
難過,sad,nán guò
求,"seek; demand, request; beseech",qíu
校長,headmaster,xiào cháng
要求,Require,yào qíu
食堂,canteen,shí táng
食,eat; meal; food; KangXi radical number 184,shí
堂,hall; government office,táng
必須,must,bì xū
完成,Finish,wán chéng
化,"change, convert, reform; -ize",huà
算,"count, calculate, figure; plan",suàn
搬,"transfer, move, remove, shift",bān
變,"change, transform, alter; rebel",biàn
打算,Intend,dǎ suàn
變化,change,biàn huà
機會,Chance,jī hùi
留學,Study Abroad,líu xué
國傢,nation,guó jiā
選擇,choose,xuǎn zé
境,"boundary, frontier; area, region",jìng
環,jade ring or bracelet; ring,huán
層,"storey, layer, floor, stratum",céng
方便,convenient,fāng biàn
環境,environment,huán jìng
草,"grass, straw, thatch, herbs",cǎo
太陽,sun,tài yáng
星星,Star,xīng xīng
陽,'male' principle; light; sun,yáng
先生,gentlemen,xiān shēng
小姐,Miss,xiǎo jiě
經理,manager,jīng lǐ
同事,colleague,tóng shì
突然,Sudden,tū rán
重要,important,zhòng yào
會議,Meeting,hùi yì
突,"suddenly, abruptly, unexpectedly",tū
重,"heavy, weighty; double",zhòng
議,"consult, talk over, discuss",yì
界,"boundary, limit; domain; society; the world",jiè
河,river; stream; yellow river,hé
世,generation; world; era,shì
黃河,Yellow River,huáng hé
動物,animal,dòng wù
有名,famous,yǒu míng
世界,world,shì jiè
長江,Yangtze,cháng jiāng
江,large river; yangzi; surname,jiāng
多麼,how,duō me
山,"mountain, hill, peak",shān
者,that which; he who; those who,zhě
爬,"crawl, creep; climb; scramble",pá
或,"or, either, else; perhaps, maybe",huò
自行車,bike,zì xíng chē
或者,or,huò zhě
爬山,climb mountains,pá shān
功夫,effort,gōng fū
功,"achievement, merit, good result",gōng
對,"correct, right; facing, opposed",dùi
顧,look back; look at; look after,gù
死,die; dead; death,sǐ
悶,"gloomy, depressed, melancholy",mèn
腿,"legs, thighs",tǔi
照顧,take care of,zhào gù
公斤,Kilogram,gōng jīn
著急,in a hurry,zhù jí
瘦,"thin, emaciated, lean; meager",shòu
斤,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",jīn
際,"border, boundary, juncture",jì
櫃,"cabinet, cupboard; shop counter",gùi
轉,"shift, move, turn",zhuǎn
轉機,Turning point,zhuǎn jī
櫃颱,counter,gùi tái
國際,internationality,guó jì
換錢,Money exchange,huàn qián
銀行,bank,yín xíng
充電,Charge,chōng diàn
國內,domestic,guó nèi
答,"answer, reply; return; assent to",dá
句,sentence,jù
簡,"simple, terse, succinct, a letter",jiǎn
簡單,Simple,jiǎn dān
句子,sentence,jù zǐ
迴答,answer,húi dá
詞典,dictionary,cí diǎn
應用,application,yīng yòng
語法,grammar,yǔ fǎ
把,"hold, take; guard; regard as",bǎ
燈,"lantern, lamp",dēng
空調,air conditioner,kōng diào
放,"put, release, free, liberate",fàng
畫,"a painting, picture, drawing; to draw",huà
廚房,kitchen,chú fáng
客廳,living room,kè tīng
廚,kitchen; closet; cupboard,chú
廳,"hall, central room",tīng
寒,"cold, wintry, chilly",hán
暑,hot,shǔ
復,return; repeat; repeatedly,fù
記得,Remember,jì dé
復習,review,fù xí
數學,math,shù xué
放假,Have a holiday,fàng jiǎ
暑假,summer vacation,shǔ jiǎ
寒假,winter vacation,hán jiǎ
終於,finally,zhōng yú
景,"scenery, view; conditions",jǐng
街,"street, road, thoroughfare",jiē
地圖,map,dì tú
拿,"take, hold, grasp; bring; with",ná
出,"go out, send out; stand; produce",chū
街道,street,jiē dào
紅綠燈,traffic light,hóng lv̀ dēng
風景,landscape,fēng jǐng
司機,driver,sī jī
接,receive; continue; catch; connect,jiē
郵,"postal, mail; post office",yóu
剛纔,Just now,gāng cái
電子郵件,e-mail,diàn zǐ yóu jiàn
迴,"return, turn around; a time",húi
主要,main,zhǔ yào
短信,Short message,duǎn xìn
關於,about,guān yú
主,"master, chief owner; host; lord",zhǔ
登錄,Log in,dēng lù
同意,agree,tóng yì
決定,Decide,jué dìng
根據,according to,gēn jù
升職,promotion,shēng zhí
定,"decide, settle, fix",dìng
根,"root, base(d on); foundation",gēn
據,"to occupy, take possession of; a base, position",jù
升,"arise, go up; hoist; advance",shēng
職,"duty, profession; office, post",zhí
滿意,satisfy,mǎn yì
餅,"rice-cakes, biscuits",bǐng
月亮,moon,yuè liàng
月餅,moon cake,yuè bǐng
中鞦節,Mid-Autumn Festival,zhōng qīu jié
圓,"circle; round, circular; complete",yuán
恭喜,Congratulations,gōng xǐ
紅包,Red envelope,hóng bāo
湯圓,sweet dumpling,tāng yuán
聚會,reunion,jù hùi
珠,"precious stone, gem, jewel, pearl",zhū
湯,"hot water; soup, gravy, broth",tāng
酸,"tart, sour; acid; stiff; spoiled",suān
珍,"precious, valuable, rare",zhēn
珍珠奶茶,Pearl milk tea,zhēn zhū nǎi chá
酸辣湯,Hot and Sour Soup,suān là tāng
北京烤鴨,Peking Duck,běi jīng kǎo yā
春捲,Spring rolls,chūn juǎn
豆花,Tofu Pudding,dòu huā
烤,"bake, roast, toast, cook",kǎo
豪,"brave, heroic, chivalrous",háo
宅,"residence, dwelling, home; grave",zhái
土,"soil, earth; items made of earth",tǔ
土豪,Local tycoon,tǔ háo
吃貨,Foodie,chī huò
宅男,otaku,zhái nán
菜鳥,rookie,cài niǎo
美圖,Beautiful Pictures,měi tú
萌,"bud, sprout",méng
自拍,Selfie,zì pāi
銷,"melt, fuse; market, sell",xiāo
收據,Receipt,shōu jù
報銷,to reimburse,bào xiāo
費用,cost,fèi yòng
盡快,ASAP,jìn kuài
迴復,reply,húi fù
報告,Report,bào gào
協議,protocol,xié yì
盡,"exhaust, use up; deplete",jìn
險,"narrow pass, strategic point",xiǎn
投,"throw, cast, fling, pitch; jump",tóu
保險,Insurance,bǎo xiǎn
風險,risk,fēng xiǎn
投資,invest,tóu zī
律師,lawyer,lv̀ shī
版權,copyright,bǎn quán
諮詢,consult,zī xún
律,"statute, principle, regulation",lv̀
版,printing blocks; edition,bǎn
傷,"wound, injury; fall ill from",shāng
受,"receive, accept, get; bear, stand",shòu
救,"save, rescue, relieve; help, aid",jìu
警,"guard, watch; alert, alarm",jǐng
報警,Call the police,bào jǐng
救護車,ambulance,jìu hù chē
受傷,Injuried,shòu shāng
救命,Help,jìu mìng
發生,occur,fā shēng
奬,"prize, reward; give award to",jiǎng
工資,salary,gōng zī
加班,work overtime,jiā bān
奬金,bonus,jiǎng jīn
生意,Business,shēng yì
壓力,pressure,yā lì
責任,responsibility,zé rèn
商量,discuss,shāng liàng
意見,Opinion,yì jiàn
壓,press; oppress; crush; pressure,yā
乾燥,dry,gān zào
暖和,warm,nuǎn hé
涼快,cool,liáng kuài
燥,"dry, parched, arid; quick-tempered",zào
暖,"warm, genial",nuǎn
和,"harmony, peace; peaceful, calm",hé
涼,"cool, cold; disheartened",liáng
溫度,temperature,wēn dù
度,"degree, system; manner; to consider",dù
大約,About,dà yuē
鷹,falcon; Accipiter species (various),yīng
羽,"feather, plume; wings; rad. 124",yǔ
橙,orange,chéng
貓頭鷹,owl,māo tóu yīng
羽毛,feather,yǔ máo
多兒,Duoer,duō ér,this is clearly sourced from Duolingo
鼓勵,encourage,gǔ lì
提醒,remind,tí xǐng
懶,"lazy, languid, listless",lǎn
