phrase,english,pinyin,color,comments
怎,what? why? how?,zěn,purple,
樣,"shape, form, pattern, style",yàng,light-blue,
今,"now, today, modern era",jīn,cyan,
天,"sky, heaven; god, celestial",tiān,blue,
傢,"house, home, residence; family",jiā,pink,
北京,Beijing,běi jīng,dark-blue,
在,"be at, in, on; consist in, rest",zài,orange,
北,north; northern; northward,běi,teal,
京,capital city,jīng,black,
哪兒,where,nǎ ér,purple,
紐約,New York,nǐu yuē,purple,
香港,Hongkong,xiāng gǎng,dark-red,
兒,"son, child; KangXi radical 10",ér,red,
紐,"knot; button; handle, knob; tie",nǐu,yellow,
謝謝,Thanks,xiè xiè,light-blue,
不客氣,You&#39;re welcome,bù kè qì,brown,
謝,thank; decline,xiè,light-grey,
客,"guest, traveller; customer",kè,brown,
氣,"steam, vapor; KangXi radical 84",qì,black,
對不起,sorry,dùi bù qǐ,light-grey,
沒關係,It doesn&#39;t matter,méi guān xì,white,
起,"rise, stand up; go up; begin",qǐ,purple,
沒,"not, have not, none; drown, sink",méi,white,
關,frontier pass; close; relation,guān,black,
爸爸,dad,bà bà,green,
媽媽,Mother,mā mā,dark-blue,
愛,"love, be fond of, like",ài,blue,
傢人,family,jiā rén,purple,
爸,"father, papa",bà,light-blue,
媽,"mother, mama",mā,grey,
誰,who? whom? whose? anyone?,shúi,white,
那,"that, that one, those",nà,yellow,
個,"numerary adjunct, piece; single",gè,pink,
這,"this, the, here",zhè,dark-red,
請問,Excuse me,qǐng wèn,dark-blue,
知道,Know,zhī dào,green,
問,"ask about, inquire after",wèn,cyan,
請,"ask, request; invite; please",qǐng,red,
知,"know, perceive, comprehend",zhī,light-blue,
道,"path, road, street; method, way",dào,brown,
說,"speak, say, talk; scold, upbraid",shuō,cyan,
英語,English,yīng yǔ,dark-red,
漢語,Chinese,hàn yǔ,teal,
漢,Chinese people; Chinese language,hàn,red,
早安,good morning,zǎo ān,dark-grey,
晚安,good evening,wǎn ān,brown,
一會兒,a while,yī hùi ér,purple,
會,"assemble, meet together; meeting",hùi,purple,
安,"peaceful, tranquil, quiet",ān,yellow,
最近,recent,zùi jìn,green,
好久不見,haven&#39;t seen you for a long time,hǎo jǐu bù jiàn,white,
不錯,good,bù cuò,teal,
最,"most, extremely, exceedingly",zùi,hot-pink,
要,"necessary, essential; necessity",yào,grey,
熱,hot; heat; fever; restless; zeal,rè,dark-grey,
冰,ice; ice-cold,bīng,dark-grey,
牛奶,milk,níu nǎi,blue,
咖啡,coffee,kā fēi,white,
牛,"cow, ox, bull; KangXi radical93",níu,blue,
奶,milk; woman's breasts; nurse,nǎi,grey,
咖,coffee; a phonetic,kā,cyan,
啡,morphine; coffee,fēi,blue,
洗手間,restroom,xǐ shǒu jiān,cyan,
醫院,Hospital,yī yuàn,light-blue,
洗,"wash, rinse; clean, purify",xǐ,hot-pink,
手,hand,shǒu,black,
間,"midpoint, space; place, locality",jiān,red,
院,"courtyard, yard, court; school",yuàn,yellow,
這兒,here,zhè ér,green,
那兒,there,nà ér,pink,
飯館,restaurant,fàn guǎn,light-grey,
館,public building,guǎn,cyan,
年,year; new-years; person's age,nián,pink,
月,moon; month; KangXi radical 74,yuè,brown,
幾,small table,jǐ,dark-blue,
〇,zero,〇,blue,
星期,Week,xīng qī,orange,
明天,tomorrow,míng tiān,green,
日,sun; day; daytime,rì,black,
星,"a star, planet; any point of light",xīng,yellow,
孩子,child,hái zǐ,light-blue,
兩,"two, both, pair, couple; ounce",liǎng,black,
孩,"baby, child; children",hái,blue,
子,"offspring, child; fruit, seed of; 1st terrestrial branch",zǐ,dark-blue,
女兒,daughter,nv̌ ér,pink,
兒子,son,ér zǐ,dark-grey,
歲,year; age; harvest,sùi,dark-grey,
女,"woman, girl; feminine; rad. 38",nv̌,light-grey,
妻子,wife,qī zǐ,dark-red,
喂,interjection to call attention,wèi,yellow,
慢,"slow(ly), leisurely, sluggish",màn,black,
一點兒,a little,yī diǎn ér,light-grey,
快,"rapid, quick, speedy, fast; soon",kuài,black,
得,"obtain, get, gain, acquire",dé,hot-pink,
明白,clear,míng bái,black,
白,"white; pure, unblemished; bright",bái,dark-red,
漂亮,pretty,piāo liàng,dark-blue,
漂,"float, drift; tossed about",piāo,red,
亮,"bright, brilliant, radiant, light",liàng,cyan,
朋友,friend,péng yǒu,orange,
男,"male, man; son; baron; surname",nán,blue,
矮,"short, dwarf; low",ǎi,dark-grey,
朋,"friend, pal, acquaintance",péng,light-blue,
友,"friend, companion; fraternity",yǒu,red,
上午,morning,shàng wǔ,dark-grey,
分,divide; small unit of time etc.,fēn,black,
下午,afternoon,xià wǔ,brown,
晚上,night,wǎn shàng,white,
午,noon; 7th terrestrial branch,wǔ,light-grey,
晚,"night, evening; late",wǎn,dark-red,
下,"under, underneath, below; down; inferior; bring down",xià,light-grey,
每,"every, each",měi,light-grey,
中午,noon,zhōng wǔ,pink,
周末,weekend,zhōu mò,orange,
旁邊,beside,páng biān,light-grey,
左邊,left,zuǒ biān,hot-pink,
右邊,right,yòu biān,light-blue,
旁,"side; by side, close by, near",páng,orange,
左,"left; east; unorthodox, improper",zuǒ,orange,
右,right; west; right-wing,yòu,red,
邊,"edge, margin, side, border",biān,blue,
前麵,Front,qián miàn,red,
後麵,later,hòu miàn,hot-pink,
學校,School,xué xiào,pink,
喜歡,like,xǐ huān,orange,
看,"look, see; examine, scrutinize",kàn,lime,
書,"book, letter, document; writings",shū,grey,
喜,"like, love, enjoy; joyful thing",xǐ,brown,
歡,"happy, pleased, glad; joy; enjoy",huān,red,
玩,"play with, joke, enjoy",wán,black,
電腦,computer,diàn nǎo,purple,
遊戲,game,yóu xì,hot-pink,
起床,get up,qǐ chuáng,red,
上學,go to school,shàng xué,pink,
上班,work,shàng bān,light-grey,
早飯,breakfast,zǎo fàn,light-blue,
做,"work, make; act",zuò,black,
床,"bed, couch; framework, chassis",chuáng,pink,
班,"class, group, grade; squad; job",bān,teal,
從,"from, by, since, whence, through",cóng,grey,
睡覺,sleep,shùi jué,cyan,
錢,"money, currency, coins",qián,white,
塊,"piece, lump; dollar",kuài,cyan,
隻,"only, just, simply",zhī,grey,
買,"buy, purchase; bribe, persuade",mǎi,orange,
一共,Total,yī gòng,yellow,
毛,"hair, fur, feathers; coarse",máo,black,
共,"together with, all, total; to share",gòng,yellow,
信用卡,credit card,xìn yòng qiǎ,brown,
收,"gather together, collect; harvest",shōu,light-grey,
想,"think, speculate, plan, consider",xiǎng,black,
乾,"oppose, offend; invade; dried",gān,lime,
影,"shadow; image, reflection; photograph",yǐng,light-blue,
視,"look at, inspect, observe, see",shì,teal,
電視,television,diàn shì,orange,
電影,Movie,diàn yǐng,dark-grey,
報紙,newspaper,bào zhǐ,red,
上網,Internet access,shàng wǎng,grey,
報,"report, tell, announce",bào,orange,
紙,paper,zhǐ,orange,
桌,"table, desk, stand",zhuō,cyan,
找,"search, seek, look for; find",zhǎo,purple,
桌子,table,zhuō zǐ,black,
椅子,Chair,yǐ zǐ,hot-pink,
椅,"chair, seat",yǐ,lime,
房間,Room,fáng jiān,light-blue,
冰箱,refrigerator,bīng xiāng,blue,
位,"throne; position, post; rank, status; seat",wèi,yellow,
等,"rank, grade; wait; equal; 'etc.'",děng,hot-pink,
一下,one time,yī xià,light-blue,
進,"advance, make progress, enter",jìn,purple,
坐,"sit; seat; ride, travel by",zuò,dark-red,
菜單,menu,cài dān,light-blue,
英文,English,yīng wén,light-blue,
菜,"vegetables; dish, order; food",cài,blue,
單,"single, individual, only; lone",dān,light-blue,
些,"little, few; rather, somewhat",xiē,pink,
西,"west(ern); westward, occident",xī,white,
東,"east, eastern, eastward",dōng,white,
東西,thing,dōng xī,dark-blue,
幫,"help, assist; defend; shoe upper",bāng,cyan,
超市,supermarket,chāo shì,blue,
水果,fruit,shǔi guǒ,red,
超,"jump over, leap over; surpass",chāo,blue,
市,"market, fair; city, town; trade",shì,dark-blue,
果,fruit; result,guǒ,light-blue,
為,"do, handle, govern, act; be",wèi,lime,
文,"literature, culture, writing",wén,red,
習,practice; flapping wings,xí,teal,
學習,study,xué xí,grey,
中文,Chinese,zhōng wén,black,
為什麼,Why,wèi shí me,hot-pink,
去,"go away, leave, depart",qù,pink,
因為,because,yīn wèi,purple,
所以,so,suǒ yǐ,light-grey,
西班牙,Spain,xī bān yá,hot-pink,
海,"sea, ocean; maritime",hǎi,dark-grey,
本,"root, origin, source; basis",běn,green,
還,"still, yet, also, besides",huán,black,
上海,Shanghai,shàng hǎi,blue,
還是,still,huán shì,orange,
日本,Japan,rì běn,dark-grey,
肉,flesh; meat; KangXi radical 130,ròu,dark-blue,
米飯,rice,mǐ fàn,dark-red,
麵條,Noodle,miàn tiáo,green,
作,"make; work; compose, write; act, perform",zuò,black,
覺,to wake up from sleep; conscious,jué,green,
工,"labor, work; worker, laborer",gōng,cyan,
纍,"tired; implicate, involve; bother",léi,red,
工作,Work,gōng zuò,pink,
覺得,feel,jué dé,white,
有點兒,kind of,yǒu diǎn ér,pink,
胖,"fat, obese; fatty",pàng,light-grey,
健康,healthy,jiàn kāng,white,
鐵,"iron; strong, solid, firm",tiě,white,
店,"shop, store; inn, hotel",diàn,light-grey,
地,"earth; soil, ground; region",dì,white,
酒,"wine, spirits, liquor, alcoholic beverage",jǐu,white,
酒店,hotel,jǐu diàn,purple,
地鐵,subway,dì tiě,teal,
不準,Not allowed,bù zhǔn,light-blue,
準,"approve, allow, permit; in accord",zhǔn,lime,
出租車,taxi,chū zū chē,light-grey,
件,numerary adjunct for article; matter,jiàn,cyan,
衣,"clothes, clothing; cover, skin",yī,teal,
商,"commerce, business, trade",shāng,orange,
商店,shop,shāng diàn,dark-grey,
衣服,clothing,yī fú,purple,
開,"open; initiate, begin, start",kāi,dark-grey,
門,"gate, door, entrance, opening",mén,light-blue,
歡迎,welcome,huān yíng,red,
迎,"receive, welcome, greet",yíng,blue,
讀,"read, study; pronounce",dú,yellow,
意思,mean,yì sī,cyan,
寫,"write; draw, sketch; compose",xiě,black,
錯,"error, blunder, mistake; wrong",cuò,orange,
難,"difficult, arduous, hard; unable",nán,pink,
思,"think, consider, ponder; final particle",sī,lime,
秒,beard of grain or corn; a second,miǎo,hot-pink,
刻,"carve, engrave; quarter hour",kè,blue,
差,"to differ; different, wrong; nearly, almost; an officer",chà,lime,
小時,Hour,xiǎo shí,teal,
分鍾,minute,fēn zhōng,yellow,
小,"small, tiny, insignificant",xiǎo,dark-blue,
時,"time, season; era, age, period",shí,hot-pink,
鍾,clock; bell,zhōng,dark-grey,
整,"orderly, neat, tidy; whole",zhěng,teal,
杯,"cup, glass",bēi,white,
啤,beer,pí,black,
德,"ethics, morality, virtue",dé,white,
德國,Germany,dé guó,green,
啤酒,beer,pí jǐu,yellow,
果汁,juice,guǒ zhī,dark-blue,
汁,"juice, liquor, fluid, sap, gravy, sauce",zhī,brown,
香蕉,banana,xiāng jiāo,blue,
蛋糕,cake,dàn gāo,dark-grey,
室,"room, home, house, chamber",shì,brown,
辦,"manage, do, handle; deal with",bàn,cyan,
輛,numerary adjunct for vehicles,liàng,green,
辦公室,office,bàn gōng shì,dark-blue,
瓶子,bottle,píng zǐ,green,
照片,photo,zhào piàn,hot-pink,
瓶,"jug, pitcher, vase, jar, bottle",píng,orange,
片,"slice, splinter, strip; rad. 91",piàn,dark-red,
步,"step, pace; walk, stroll",bù,cyan,
跑,"run, flee, leave in hurry",pǎo,red,
泳,dive; swim,yǒng,teal,
遊,"to swim; float, drift; wander, roam",yóu,light-blue,
遊泳,swim,yóu yǒng,dark-red,
跑步,running,pǎo bù,blue,
踢,kick,tī,purple,
足球,football,zú qíu,dark-grey,
打,"strike, hit, beat; fight; attack",dǎ,white,
籃球,basketball,lán qíu,red,
吧,emphatic final particle,ba,dark-blue,
出去,go out,chū qù,light-blue,
時間,time,shí jiān,orange,
時候,when,shí hòu,brown,
空,"empty, hollow, bare, deserted",kōng,pink,
來,"come, coming; return, returning",lái,yellow,
候,wait; expect; visit; greet,hòu,teal,
過,"pass, pass through, go across",guò,brown,
一起,Together,yī qǐ,purple,
該,"should, ought to, need to",gāi,hot-pink,
病,"illness, sickness, disease",bìng,dark-red,
舒,"open up, unfold, stretch out; comfortable, easy",shū,dark-blue,
應,"should, ought to, must",yīng,light-blue,
生病,Get ill,shēng bìng,light-grey,
應該,should,yīng gāi,dark-blue,
舒服,Comfortable,shū fú,grey,
了,to finish; particle of completed action,le,blue,
疼,"aches, pains; be fond of; love",téng,purple,
頭,"head; top; chief, first; boss",tóu,pink,
派,"school of thought, sect, branch",pài,orange,
能,"to be able; can, permitted to; ability",néng,green,
生日,Birthday,shēng rì,dark-grey,
派對,Party,pài dùi,yellow,
打扮,dress up,dǎ bàn,purple,
扮,dress up; dress up as,bàn,green,
希望,hope,xī wàng,dark-blue,
跟,"heel; to follow, accompany; with",gēn,dark-grey,
希,"rare; hope, expect, strive for",xī,blue,
望,"to look at, look forward; to hope, expect",wàng,white,
費,"expenses, expenditures, fee",fèi,light-grey,
完,"complete, finish, settle; whole",wán,hot-pink,
經,classic works; pass through,jīng,light-grey,
已,already; finished; stop,yǐ,light-blue,
已經,already,yǐ jīng,dark-grey,
小費,tip,xiǎo fèi,brown,
飽,eat heartily; eat one's fill,bǎo,teal,
好吃,tasty,hǎo chī,light-blue,
真,"real, actual, true, genuine",zhēn,dark-red,
試,"test, try, experiment",shì,lime,
藍,blue; indigo plant; surname,lán,black,
條,"clause, condition; string, stripe",tiáo,hot-pink,
裙,"skirt, apron, petticoat",qún,white,
裙子,skirt,qún zǐ,light-blue,
雙,"set of two, pair, couple; both",shuāng,pink,
鞋子,shoe,xié zǐ,grey,
意大利,Italy,yì dà lì,dark-grey,
色,"color, tint, hue, shade; form, body; beauty, desire for beauty",sè,pink,
朵,cluster of flowers; earlobe,duǒ,lime,
睛,eyeball; pupil of eye,jīng,light-grey,
綠,green; chlorine,lv̀,cyan,
耳,"ear; merely, only; handle",ěr,dark-grey,
眼,"eye; eyelet, hole, opening",yǎn,red,
耳朵,ear,ěr duǒ,yellow,
眼睛,Eye,yǎn jīng,green,
頭發,hair,tóu fā,light-grey,
臉,face; cheek; reputation,liǎn,black,
又,"and, also, again, in addition",yòu,lime,
遠,"distant, remote, far; profound",yuǎn,orange,
離,rare beast; strange; elegant,lí,brown,
路,"road, path, street; journey",lù,dark-blue,
走路,walk,zǒu lù,pink,
近,"near, close; approach; intimate",jìn,lime,
開車,drive,kāi chē,dark-blue,
飛機,airplane,fēi jī,light-grey,
機場,Airport,jī cháng,purple,
飛,fly; go quickly; dart; high,fēi,dark-red,
場,"open space, field, market",cháng,hot-pink,
冷,"cold, cool; lonely",lěng,pink,
晴,"clear weather, fine weather",qíng,blue,
天氣,weather,tiān qì,yellow,
雨,rain; rainy; KangXi radical 173,yǔ,blue,
雪,"snow; wipe away shame, avenge",xuě,hot-pink,
陰,'female' principle; dark; secret,yīn,red,
著,"make move, take action",zhù,brown,
傘,"umbrella, parasol, parachute",sǎn,dark-grey,
帶,to bring,dài,lime,
然,"yes, certainly; pledge, promise",rán,light-blue,
但,"only; but, however, yet, still",dàn,black,
雖,"although, even if",sūi,dark-grey,
短,"short; brief; deficient, lacking",duǎn,brown,
長,long; length; excel in; leader,cháng,hot-pink,
雖然,Although,sūi rán,light-grey,
但是,but,dàn shì,blue,
紅,"red, vermillion; blush, flush",hóng,red,
顔色,color,yán sè,dark-blue,
穿,"penetrate, pierce, drill; wear",chuān,dark-grey,
紹,"continue, carry on; join",shào,red,
介,"forerunner, herald, harbinger; to lie between; sea shell; to wear armor",jiè,pink,
介紹,introduce,jiè shào,light-blue,
帥,"commander, commander-in-chief",shuài,blue,
笑,"smile, laugh, giggle; snicker",xiào,pink,
說話,say,shuō huà,light-blue,
聰明,clever,cōng míng,purple,
彆人,other people,biè rén,cyan,
不但,Not only,bù dàn,orange,
春,spring; wanton,chūn,grey,
樂,"happy, glad; enjoyable; music",lè,dark-grey,
快樂,hapiness,kuài lè,light-grey,
節日,festival,jié rì,dark-grey,
春節,Spring Festival,chūn jié,yellow,
禮物,Gift,lǐ wù,black,
送,"see off, send off; dispatch, give",sòng,teal,
新年,new year,xīn nián,brown,
白酒,Liquor,bái jǐu,cyan,
賽,"compete, contend; contest, race",sài,lime,
練,"to practice, drill, exercise, train",liàn,dark-grey,
練習,practise,liàn xí,dark-blue,
比賽,Contest,bǐ sài,black,
好在,Fortunately,hǎo zài,grey,
乒乓球,table tennis,pīng pāng qíu,yellow,
乒,used with pong for ping pong,pīng,light-blue,
乓,used with ping for ping pong,pāng,orange,
參加,join,cān jiā,hot-pink,
第,"sequence, number; grade, degree",dì,purple,
同,"same, similar; together with",tóng,blue,
課,"lesson, class; subject, course",kè,grey,
教,"teach, class",jiào,lime,
教室,classroom,jiào shì,yellow,
同學,classmate,tóng xué,purple,
地理,geography,dì lǐ,yellow,
理,"reason, logic; manage",lǐ,light-blue,
懂,"understand, comprehend",dǒng,light-grey,
問題,question,wèn tí,green,
爺爺,grandfather,yé yé,dark-red,
奶奶,grandmother,nǎi nǎi,white,
阿姨,Aunt,ā yí,red,
爺,"father, grandfather",yé,red,
阿,prefix for people's names; used in transliteration,ā,dark-grey,
姨,mother/wife's sister; concubine,yí,hot-pink,
兄弟姐妹,brothers and sisters,xiōng dì jiě mèi,light-blue,
關係,relation,guān xì,pink,
叔叔,uncle,shū shū,cyan,
父母,parents,fù mǔ,blue,
拉麵,Hand-Pulled Noodle,lā miàn,grey,
點心,dessert,diǎn xīn,brown,
小籠包,Xiao Long Bao,xiǎo lóng bāo,lime,
拉,"pull, drag; seize, hold; lengthen",lā,grey,
籠,cage; cage-like basket,lóng,grey,
粥,"rice gruel, congee",zhōu,dark-blue,
油條,fried dough sticks,yóu tiáo,dark-grey,
豆漿,soy milk,dòu jiāng,blue,
油,"oil, fat, grease, lard; paints",yóu,teal,
豆,"beans, peas; bean-shaped",dòu,brown,
夏,"summer; great, grand, big",xià,light-grey,
鼕,"winter, 11th lunar month",dōng,grey,
鞦,"autumn, fall; year",qīu,teal,
後,"queen, empress, sovereign; (simp. for 後) behind, rear, after",hòu,grey,
前,"in front, forward; preceding",qián,yellow,
季,quarter of year; season; surname,jì,light-blue,
澳,"inlet, bay; dock, bank",ào,hot-pink,
亞,Asia; second,yà,purple,
季節,season,jì jié,brown,
城,"castle; city, town; municipality",chéng,orange,
附,"adhere to, append; rely on near to",fù,black,
園,"garden; park, orchard",yuán,green,
城市,City,chéng shì,light-grey,
附近,nearby,fù jìn,red,
公園,garden,gōng yuán,dark-grey,
圖,"diagram; chart, map, picture",tú,dark-blue,
方,"a square, rectangle; a region; local",fāng,dark-red,
摺,"break off, snap; bend",zhé,light-grey,
角,"horn; angle, corner; point",jiǎo,yellow,
花,flower; blossoms,huā,hot-pink,
打摺,Discount,dǎ zhé,white,
舊,"old, ancient; former, past",jìu,purple,
皮,"skin, hide, fur, feather; outer",pí,orange,
換,change,huàn,orange,
皮鞋,leather shoes,pí xié,lime,
經過,go through,jīng guò,brown,
慣,"habit, custom; habitually, usual",guàn,dark-blue,
刷,"brush; clean with brush, scrub",shuā,black,
牙,"tooth, molars, teeth; serrated",yá,dark-blue,
習慣,Habit,xí guàn,lime,
刷牙,brush teeth,shuā yá,dark-grey,
馬上,immediately,mǎ shàng,pink,
以後,after,yǐ hòu,red,
澡,"wash, bathe",zǎo,dark-red,
總,"collect; overall, altogether",zǒng,dark-red,
洗澡,bath,xǐ zǎo,grey,
除,"eliminate, remove, except",chú,red,
其,"his, her, its, their; that",qí,orange,
餃,stuffed dumplings,jiǎo,light-grey,
北方,north,běi fāng,blue,
除了,Apart from,chú le,dark-grey,
其他,other,qí tā,brown,
餃子,dumpling,jiǎo zǐ,dark-blue,
辣,"peppery, pungent, hot; cruel",là,dark-grey,
極,"extreme, utmost, furthest, final",jí,light-grey,
苦,"bitter; hardship, suffering",kǔ,light-blue,
級,"level, rank, class; grade",jí,green,
個子,height,gè zǐ,cyan,
年級,grade,nián jí,blue,
小學,primary school,xiǎo xué,dark-grey,
初中,junior high school,chū zhōng,teal,
初,"beginning, initial, primary",chū,white,
輕,"light; easy, simple; gentle",qīng,orange,
較,"compare; comparatively, more",jiào,orange,
年輕,young,nián qīng,teal,
先,"first, former, previous",xiān,dark-grey,
然後,Then,rán hòu,black,
西邊,West,xī biān,light-grey,
東邊,East,dōng biān,lime,
北邊,North,běi biān,green,
一直,Always,yī zhí,light-grey,
最後,at last,zùi hòu,green,
南邊,South,nán biān,white,
般,"sort, manner, kind, category",bān,pink,
聊,"somewhat, slightly, at least",liáo,yellow,
聊天,chat,liáo tiān,yellow,
一般,generally,yī bān,orange,
見麵,Meet,jiàn miàn,hot-pink,
自己,Own,zì jǐ,hot-pink,
一個人,one person,yī gè rén,blue,
自,"self, private, personal; from",zì,dark-blue,
己,"self, oneself; personal, private; 6th heavenly stem",jǐ,teal,
證,"prove, confirm, verify; proof",zhèng,cyan,
簽,"sign, endorse; slip of paper",qiān,light-grey,
照,"shine, illumine, reflect",zhào,dark-grey,
護,"protect, guard, defend, shelter",hù,red,
護照,passport,hù zhào,dark-blue,
簽證,visa,qiān zhèng,green,
發現,Discover,fā xiàn,grey,
起飛,take off,qǐ fēi,hot-pink,
離開,leave,lí kāi,black,
發,"issue, dispatch, send out; hair",fā,light-grey,
言,"simplifieds, speech; speak, say",yán,purple,
易,change; easy,yì,cyan,
容,"looks, appearance; figure, form",róng,purple,
種,"seed; race, breed; to plant",zhǒng,dark-grey,
容易,easy,róng yì,red,
久,"long time (ago); time passage, grow late",jǐu,red,
語言,language,yǔ yán,white,
更,"more, still further, much more",gèng,dark-blue,
努力,effort,nǔ lì,dark-red,
看起來,Looks,kàn qǐ lái,brown,
奇怪,strangeness,qí guài,teal,
生氣,angry,shēng qì,teal,
緊張,nervous,jǐn zhāng,black,
奇,"strange, unusual, uncanny, occult",qí,lime,
怪,"strange, unusual, peculiar",guài,yellow,
緊,"tense, tight, taut; firm, secure",jǐn,grey,
難過,sad,nán guò,orange,
求,"seek; demand, request; beseech",qíu,light-blue,
校長,headmaster,xiào cháng,white,
要求,Require,yào qíu,teal,
食堂,canteen,shí táng,dark-grey,
食,eat; meal; food; KangXi radical number 184,shí,orange,
堂,hall; government office,táng,purple,
必須,must,bì xū,green,
完成,Finish,wán chéng,light-grey,
化,"change, convert, reform; -ize",huà,pink,
算,"count, calculate, figure; plan",suàn,cyan,
搬,"transfer, move, remove, shift",bān,purple,
變,"change, transform, alter; rebel",biàn,purple,
打算,Intend,dǎ suàn,dark-red,
變化,change,biàn huà,purple,
機會,Chance,jī hùi,red,
留學,Study Abroad,líu xué,dark-grey,
國傢,nation,guó jiā,pink,
選擇,choose,xuǎn zé,light-blue,
境,"boundary, frontier; area, region",jìng,cyan,
環,jade ring or bracelet; ring,huán,blue,
層,"storey, layer, floor, stratum",céng,lime,
方便,convenient,fāng biàn,dark-blue,
環境,environment,huán jìng,lime,
草,"grass, straw, thatch, herbs",cǎo,teal,
太陽,sun,tài yáng,hot-pink,
星星,Star,xīng xīng,orange,
陽,'male' principle; light; sun,yáng,orange,
先生,gentlemen,xiān shēng,teal,
小姐,Miss,xiǎo jiě,grey,
經理,manager,jīng lǐ,dark-red,
同事,colleague,tóng shì,dark-blue,
突然,Sudden,tū rán,dark-blue,
重要,important,zhòng yào,cyan,
會議,Meeting,hùi yì,purple,
突,"suddenly, abruptly, unexpectedly",tū,black,
重,"heavy, weighty; double",zhòng,dark-blue,
議,"consult, talk over, discuss",yì,brown,
界,"boundary, limit; domain; society; the world",jiè,hot-pink,
河,river; stream; yellow river,hé,yellow,
世,generation; world; era,shì,light-blue,
黃河,Yellow River,huáng hé,light-blue,
動物,animal,dòng wù,grey,
有名,famous,yǒu míng,lime,
世界,world,shì jiè,green,
長江,Yangtze,cháng jiāng,orange,
江,large river; yangzi; surname,jiāng,cyan,
多麼,how,duō me,grey,
山,"mountain, hill, peak",shān,black,
者,that which; he who; those who,zhě,dark-grey,
爬,"crawl, creep; climb; scramble",pá,yellow,
或,"or, either, else; perhaps, maybe",huò,pink,
自行車,bike,zì xíng chē,pink,
或者,or,huò zhě,dark-blue,
爬山,climb mountains,pá shān,light-grey,
功夫,effort,gōng fū,light-grey,
功,"achievement, merit, good result",gōng,white,
對,"correct, right; facing, opposed",dùi,yellow,
顧,look back; look at; look after,gù,dark-red,
死,die; dead; death,sǐ,green,
悶,"gloomy, depressed, melancholy",mèn,dark-red,
