phrase,english
收集,collect
整理,organize
储存,store
运输,transport
邮寄,mail
发送,send
接收,receive
通知,inform
提醒,remind
邀请,invite
拒绝,decline
接受,accept
感谢,thank
道歉,apologize
原谅,forgive
责备,blame
批评,criticize
赞美,praise
鼓励,encourage
支持,support
反对,oppose
建议,suggest
推荐,recommend
要求,request
命令,order
允许,allow
禁止,forbid
遵守,obey
违反,violate
遵循,follow
引导,guide
领导,lead
管理,manage
监督,supervise
控制,control
处理,handle
解决,solve
应对,cope
面对,face
避免,avoid
逃跑,escape
追,follow
赶,chase
抓住,catch
释放,release
捆绑,tie
解开,untie
锁,lock
解锁,unlock
盖,cover
揭开,uncover
包裹,wrap
打开,unwrap
装,pack
拆,unpack
装饰,decorate
清理,clean up
打扫,sweep
拖,drag
推,push
拉,pull
搬运,carry
举,hold up
握,hold
捏,pinch
拧,twist
拍,pat
敲,knock
按,press
点,click
滑动,swipe
滚动,scroll
摇,shake
晃,rock
转动,rotate
翻转,flip
折,fold
展开,unfold
撕,tear
缝,sew
织,knit
剪,cut
粘,glue
贴,stick
画,paint
雕刻,carve
塑造,shape
制作,make
创造,create
设计,design
发明,invent
开发,develop
研究,research
探索,explore
发现,discover
调查,investigate
分析,analyze
计算,calculate
测量,measure
估计,estimate
预测,predict
计划,plan
安排,arrange
组织,organize
准备,prepare
完成,complete
实现,achieve
获得,obtain
失去,lose
赢,win
输,lose
比赛,compete
挑战,challenge
冒险,adventure
尝试,attempt
失败,fail
成功,succeed
学习,learn
教,teach
训练,train
练习,practice
复习,review
考试,test
考察,examine
评估,evaluate
总结,summarize
归纳,conclude
推断,infer
证明,prove
解释,explain
描述,describe
表达,express
陈述,state
报告,report
通知,inform
提醒,remind
建议,suggest
推荐,recommend
要求,request
命令,order
允许,permit
禁止,prohibit
遵守,comply
违反,violate
遵循,follow
引导,guide
领导,lead
管理,manage
监督,supervise
控制,control
处理,handle
解决,solve
应对,cope
面对,face
避免,avoid
逃跑,escape
追,follow
赶,chase
抓住,catch
释放,release
捆绑,tie
解开,untie
锁,lock
解锁,unlock
盖,cover
揭开,uncover
包裹,wrap
打开,unwrap
装,pack
拆,unpack
装饰,decorate
清理,clean up
打扫,sweep
拖,drag
推,push
拉,pull
搬运,carry
举,hold up
握,hold
捏,pinch
拧,twist
拍,pat
敲,knock
按,press
点,click
滑动,swipe
滚动,scroll
摇,shake
晃,rock
转动,rotate
翻转,flip
折,fold
展开,unfold
撕,tear
缝,sew
织,knit
剪,cut
粘,glue
贴,stick
画,paint
雕刻,carve
塑造,shape
制作,make
创造,create
设计,design
发明,invent
开发,develop
研究,research
探索,explore
发现,discover
调查,investigate
分析,analyze
计算,calculate
测量,measure
估计,estimate
预测,predict
计划,plan
安排,arrange
组织,organize
准备,prepare
完成,complete
实现,achieve
获得,obtain
失去,lose
输,lose
比赛,compete
挑战,challenge
冒险,adventure
尝试,attempt
失败,fail
成功,succeed
学习,learn
教,teach
训练,train
练习,practice
复习,review
考试,test
考察,examine
评估,evaluate
总结,summarize
归纳,conclude
推断,infer
证明,prove
解释,explain
描述,describe
表达,express
陈述,state
报告,report
通知,inform
提醒,remind
建议,suggest
推荐,recommend
要求,request
命令,order
允许,permit
禁止,prohibit
遵守,comply
违反,violate
遵循,follow
引导,guide
领导,lead
管理,manage
监督,supervise
控制,control
处理,handle
解决,solve
应对,cope
面对,face
避免,avoid
逃跑,escape
追,follow
赶,chase
抓住,catch
释放,release
捆绑,tie
解开,untie
锁,lock
解锁,unlock
盖,cover
揭开,uncover
包裹,wrap
打开,unwrap
装,pack
拆,unpack
装饰,decorate
清理,clean up
打扫,sweep
拖,drag
推,push
拉,pull
搬运,carry
举,hold up
握,hold
捏,pinch
拧,twist
拍,pat
敲,knock
按,press
点,click
滑动,swipe
滚动,scroll
摇,shake
晃,rock
转动,rotate
翻转,flip
折,fold
展开,unfold
撕,tear
缝,sew
织,knit
剪,cut
粘,glue
贴,stick
画,paint
雕刻,carve
塑造,shape
制作,make
创造,create
设计,design
发明,invent
开发,develop
研究,research
探索,explore
发现,discover
调查,investigate
分析,analyze
计算,calculate
测量,measure
估计,estimate
预测,predict
计划,plan
安排,arrange
组织,organize
准备,prepare
完成,complete
实现,achieve
获得,obtain
失去,lose
输,lose
比赛,compete
挑战,challenge
冒险,adventure
尝试,attempt
失败,fail
成功,succeed
学习,learn
教,teach
训练,train
练习,practice
复习,review
考试,test
考察,examine
评估,evaluate
总结,summarize
归纳,conclude
推断,infer
证明,prove
解释,explain
描述,describe
表达,express
陈述,state
报告,report
通知,inform
提醒,remind
建议,suggest
推荐,recommend
要求,request
命令,order
允许,permit
禁止,prohibit
遵守,comply
违反,violate
遵循,follow
引导,guide
领导,lead
管理,manage
监督,supervise
控制,control
处理,handle
解决,solve
应对,cope
面对,face
避免,avoid
逃跑,escape
追,follow
赶,chase
抓住,catch
释放,release
捆绑,tie
解开,untie
锁,lock
解锁,unlock
盖,cover
揭开,uncover
包裹,wrap
打开,unwrap
装,pack
拆,unpack
装饰,decorate
清理,clean up
打扫,sweep
拖,drag
推,push
拉,pull
搬运,carry
举,hold up
握,hold
捏,pinch
拧,twist
拍,pat
敲,knock
按,press
点,click
滑动,swipe
滚动,scroll
摇,shake
晃,rock
转动,rotate
翻转,flip
折,fold
展开,unfold
撕,tear
缝,sew
织,knit
剪,cut
粘,glue
贴,stick
画,paint
雕刻,carve
塑造,shape
制
